门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
天机      80        4100      83514     150       235       697       425       2411      1114      0         476       5258      886       1881      1849      1973      0         93        0         灬地狱丷煌族乄
弈剑      80        5900      81861     152       234       1066      400       2120      1022      0         489       3191      2078      2236      2071      2137      0         0         0         诺乄天羽
云麓      80        9999      100318    199       238       3825      2267      1044      636       66        330       2498      1913      5342      2060      533       19        0         10        梨花辞
云麓      80        9999      101009    202       251       3949      1721      948       623       41        347       2108      1403      4242      2198      2194      0         103       185       星月星神
幽篁      80        9999      100060    195       248       3225      1308      911       423       31        408       2428      2375      5176      1037      1729      0         58        106       战神荣耀
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
幽篁      80        3400      88863     155       234       2417      913       663       358       46        348       3709      3397      5742      754       682       0         7         0         寵儿丷
翎羽      80        9300      91739     195       244       798       484       3317      3317      0         462       4412      1245      1480      1960      466       50        0         38        穿青花的熊猫丶
云麓      80        9999      98362     195       260       4177      1976      1178      704       59        330       1668      1087      3644      2049      379       86        17        16        丶東西
天机      80        3999      87552     150       236       785       500       2736      1489      0         455       5978      603       1954      1497      2011      0         253       107       乄闏月無殤乄
天机      80        4200      85872     156       236       724       439       2610      1477      0         434       5183      492       1487      2327      623       0         107       0         乄小许宣
云麓      80        6300      94987     195       235       4031      1763      929       618       50        330       2069      1108      3512      1874      2219      9         237       301       丷涼笙墨染
冰心      80        4350      83443     156       241       981       702       468       468       41        330       3538      3299      5271      698       609       0         20        0         司无
天机      80        9150      97443     206       234       761       483       3262      1746      0         440       5559      612       1707      2294      695       30        165       0         莫索里尼
太虚      80        3199      81047     121       235       2639      1204      727       369       32        378       1714      2006      3450      1425      2043      0         28        185       叁月贰拾捌
鬼墨      80        6000      98596     160       242       4074      1717      1016      551       41        330       2110      1517      4285      2197      2353      0         49        232       挥毫血墨杀
弈剑      80        4570      92608     158       250       1024      381       2578      1026      0         499       3699      2188      3006      2313      2293      0         12        16        浪漫主义
弈剑      80        6500      91195     195       252       2148      825       909       564       26        386       3465      3869      5063      1314      1880      6         0         55        秋雨
弈剑      80        8650      93181     170       235       1194      453       3147      3147      2         434       3290      2584      2665      1401      541       14        0         0         乄九州醉梦丶
鬼墨      80        4800      89651     147       241       2466      1301      1132      736       26        343       3303      1677      4757      1530      827       29        11        0         财灬财
冰心      80        6660      96396     195       252       1195      788       519       413       52        330       4040      3881      5990      798       351       0         18        0         雨丷林
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
天机      80        4990      83798     171       236       739       410       2528      1337      0         458       4887      763       2116      1932      2114      0         189       77        乀慎言堂丶沉默
魍魉      80        4500      88013     150       234       598       294       2157      978       0         427       3781      2315      1807      1256      2594      0         23        52        乄素陌丶
冰心      80        6600      93778     195       253       1205      743       530       417       48        335       4346      4649      5612      733       462       0         47        0         天女下凡脸着地
太虚      80        5700      86671     160       253       3136      1623      728       350       43        360       1956      1873      3737      2062      2019      0         0         181       丷灬慕羽
冰心      80        2100      76845     118       234       1155      758       704       517       24        330       2990      3126      4643      597       254       0         25        0         打归墟的是辣鸡
冰心      80        3900      82811     150       235       1020      648       555       457       41        330       3661      3547      5242      755       634       0         44        0         妍思思
天机      80        7500      93172     150       238       903       503       3075      1690      0         455       6017      597       2051      2155      586       36        217       0         乀品味灬
冰心      80        6500      90992     162       235       1331      810       697       488       56        330       4048      3842      6235      797       452       0         98        0         林溪鹿
冰心      80        9900      94354     197       266       1502      912       700       508       65        330       3887      3731      6139      742       433       0         48        0         丷雪歌
弈剑      80        4200      85860     153       234       3566      1380      703       496       22        388       2103      1588      3237      1394      2323      0         0         319       初乄雪
魍魉      80        10000     101449    195       254       655       331       2624      937       0         429       4631      1249      1935      2335      3049      0         0         268       丶丌丌丶
天机      80        8090      94029     214       235       749       481       2878      1452      0         438       6294      619       1618      2100      468       33        295       0         天河溯源乀
天机      80        9800      92189     195       234       745       449       2944      1707      0         463       5685      538       1590      1900      819       15        114       0         唯一不变的是变
荒火      80        2999      80376     130       234       658       353       2356      1073      0         427       3974      651       1203      1880      631       0         0         63        灬暴徒乀灬
幽篁      80        5399      92705     195       242       1633      676       669       359       48        330       3924      4454      5793      580       605       0         74        43        硬甲法篁疾语高
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
云麓      80        2989      80418     124       235       3043      1287      853       572       39        361       1696      1196      3551      1653      1834      0         135       62        乄八宝
弈剑      80        8100      96396     192       240       1195      463       2942      1618      0         472       3391      2630      3215      2305      2254      0         19        14        陌语乄笙婲
天机      80        9500      101366    208       237       784       472       3635      1696      2         447       6585      715       2355      1115      1887      0         258       187       丶昊宇
冰心      80        6450      89111     195       235       1135      645       456       456       50        335       3883      3457      5842      533       582       0         28        0         云翻涌成夏
冰心      80        8000      92558     195       234       1302      746       492       430       45        334       4515      4002      6151      722       619       0         41        0         乄半生如梦灬
弈剑      80        5000      87318     155       236       3285      1254      781       464       23        384       2118      1639      3305      1743      2517      0         0         238       槃槃槃槃槃槃槃
云麓      80        5410      83961     174       236       3341      1385      940       572       44        403       1576      1103      3471      1558      1693      0         56        178       大荒最怂的崽
冰心      80        7400      95450     197       257       1330      866       572       445       50        340       4116      3921      6590      871       521       33        36        0         薄暮云渐
魍魉      80        4688      74510     89        234       982       530       767       455       55        337       4335      1741      2185      565       367       0         0         0         火乍火乍灬炸弹
冰心      80        6000      85505     159       240       1272      732       533       392       43        337       3797      3737      5163      566       460       0         26        0         柑蒲
天机      80        6000      92543     182       237       899       481       2617      1337      0         446       6160      1068      2327      1951      2033      0         233       34        喵酱亽
弈剑      80        3858      85205     150       240       947       390       2104      2104      4         439       3478      2104      2394      1369      826       0         0         0         丶寒辞
太虚      80        10000     106765    195       235       2091      1066      754       417       40        390       3984      3629      5969      1427      1289      0         384       169       乄怪物
幽篁      80        6100      92342     195       235       1116      404       3166      1212      0         436       4556      984       1879      1553      2112      0         250       115       乄宝花丶
翎羽      80        2000      70901     104       234       615       366       2087      987       1         416       3949      1220      1109      1324      1331      0         0         0         灬今一世情
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
弈剑      80        7100      100519    195       237       1223      467       2643      1172      0         472       3733      2630      3274      2411      2437      0         13        282       满空空丷
魍魉      80        7900      93736     195       244       672       327       2699      962       0         427       4005      1409      1906      2170      2646      0         0         203       芒果炒饭
天机      80        9500      95238     195       260       731       438       2833      1523      0         478       5668      646       1836      2018      712       3         348       0         范無救罒
幽篁      80        1999      77678     108       235       1063      413       1952      1253      5         407       4249      933       1484      1676      346       0         36        0         亽骚气十足丶
天机      80        6658      97244     195       235       696       422       2939      1339      0         462       6063      1055      2347      1877      2200      0         200       0         阿迦熙嘿撒啦呦
翎羽      80        5900      90954     195       236       758       436       3637      1939      0         476       3516      1006      1644      2059      372       68        0         0         乄汤姆猫灬
天机      80        3500      81647     158       234       751       429       2340      2340      2         443       4782      769       1729      1385      578       0         0         0         丿王丶册
冰心      80        1900      71583     114       235       1171      722       444       408       30        344       3251      2927      3632      732       544       0         0         0         记忆丨画红尘
冰心      80        6500      95161     168       234       1020      712       552       394       45        337       4190      4262      5990      558       309       0         34        0         丷梅毛冰
幽篁      80        3600      83907     150       234       3715      1623      658       396       29        352       1625      1781      3515      1450      1693      0         0         134       丶哥晚嫖灬喷
魍魉      80        9500      76057     106       234       1040      761       799       493       70        330       4825      1795      2637      830       316       0         29        0         橙意满满
冰心      80        7900      100141    195       253       1707      1098      678       500       57        330       3521      4079      6371      788       159       0         162       0         丷璃未灬
翎羽      80        7106      94265     196       249       668       444       3345      1797      0         446       3774      1141      1637      1726      304       57        0         0         丷小天天乀
弈剑      80        5850      92676     195       235       3516      1473      1073      515       39        362       2257      1667      3491      1422      2328      0         10        270       萌丷小兔
冰心      80        3688      80171     130       234       1208      817       682       551       27        339       3209      3158      5201      727       284       0         20        0         丷风莲乀
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
太虚      80        4200      87659     195       235       3125      1405      690       320       32        354       1865      2028      3393      1834      2064      0         18        222       丶半夏微凉丷
太虚      80        9500      104280    195       248       4112      1776      847       436       43        332       2847      1950      4034      2080      2570      0         7         265       枯水
冰心      80        3200      80419     125       234       1090      741       479       404       44        330       3535      3208      5484      663       462       0         16        0         网瘾少女瑶小瑶
天机      80        7200      92219     195       235       816       506       2823      1747      0         461       5939      567       1866      1976      593       23        210       0         丷明天乄
冰心      80        2800      68154     106       235       1298      764       756       462       31        334       3327      2346      4115      745       559       0         0         0         萌媃儿
云麓      80        6400      94918     199       240       4120      1835      1034      638       51        330       1890      1281      3695      1618      2152      0         207       143       乀微微叹气
太虚      80        3888      73767     112       234       2622      1416      977       515       2         334       2375      2370      3213      1548      844       0         0         0         皓胤無涯
冰心      80        8900      94375     198       243       3381      1939      644       531       29        383       2348      1286      3754      2159      606       34        126       0         菁白丶
鬼墨      80        4980      80732     122       234       1691      855       1041      599       11        343       3061      3160      4651      1416      806       0         56        0         乄天香灬
弈剑      80        8500      96079     198       235       1912      767       2115      984       12        473       3404      2428      3498      2306      2143      0         0         189       小魚兒丶
冰心      80        8550      96865     195       248       1407      885       430       419       52        331       4327      3635      6531      830       519       0         25        0         我是星星会花光
太虚      80        5000      89126     195       235       1448      649       787       401       30        330       3611      3979      5555      1066      731       0         26        0         半夏微凉丷梦
弈剑      80        2450      79903     132       234       2893      1191      815       563       30        389       2415      2007      2885      1145      1917      0         17        75        七曜人寰
冰心      80        8300      92760     143       237       1269      725       533       422       53        330       3983      3594      6537      636       459       0         112       0         林苏苒
冰心      80        8300      99216     195       258       1393      752       551       443       50        330       4137      4230      5915      611       367       0         20        0         丷月野小兔丶
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
弈剑      80        3000      83279     146       235       1030      385       1628      803       12        420       2791      2825      3670      902       1095      0         0         0         鸣听夜雨
冰心      80        6500      96093     195       241       1179      831       642       473       47        336       4396      4086      6452      745       142       0         87        0         乄云朵朵灬
幽篁      80        9900      101901    195       237       4146      1692      730       418       34        347       2228      2085      3520      1679      2363      27        46        269       满堂花醉三千客
龙巫      80        9700      101243    195       253       3600      1718      822       535       28        363       4472      927       2810      1252      2355      0         195       310       乄苍穹丶流云乀
冰心      80        6900      80386     150       252       1332      898       434       359       42        332       3065      3036      5260      767       488       0         0         0         麦小夕
天机      80        8000      90130     171       260       684       435       2612      1631      0         498       5785      687       1804      2059      705       0         292       0         乄孤叶
天机      80        5500      83613     174       237       747       420       1852      1004      0         423       4571      1306      1818      1857      1774      0         20        61        乄扫黄特小灬
翎羽      80        9700      104785    196       242       749       507       3767      2197      0         451       4385      1104      1750      1901      399       147       0         0         木乐乐
龙巫      80        7777      94774     197       239       872       590       2214      2214      0         415       5058      1154      3491      1201      254       54        96        7         丹朱有个大西瓜
云麓      80        5600      93941     177       238       3864      2414      987       664       45        339       2063      1305      4183      2447      428       26        0         0         傾乄三世
魍魉      80        7500      98096     195       239       629       329       2625      944       0         457       4639      1266      1717      1473      2467      32        23        96        夜乄枫
冰心      80        5900      82042     150       245       1113      777       487       440       41        330       3878      3107      4836      734       700       0         0         0         巜果果
冰心      80        5000      83897     195       234       1142      748       566       402       41        337       3439      3329      5413      740       637       0         23        0         慕乄婉晴
冰心      80        9128      98109     195       234       1533      812       578       436       46        330       4214      3773      6833      755       632       0         68        0         墨倾言
冰心      80        6200      82157     153       236       1184      748       454       454       41        335       3218      2956      5438      801       484       0         19        0         丷白茉凉灬
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
弈剑      80        3200      77957     120       234       2902      1249      632       464       23        408       2372      1741      3220      1260      1840      0         0         0         橘子灬香水
冰心      80        8750      97245     195       265       1406      761       599       483       54        339       4416      3889      5817      542       614       0         59        0         丷雪落闲无声
冰心      80        5050      92082     156       242       1057      727       503       442       43        340       4202      3794      5552      639       486       0         19        0         乄扇面桃花
云麓      80        3886      85087     143       252       3657      2876      929       625       44        330       1549      889       3562      1933      205       18        0         0         绿绮翩跹
太虚      80        9300      107187    213       257       2080      966       678       413       34        365       3273      4203      5839      1558      1872      0         47        88        道乄无名
翎羽      80        8188      91857     195       236       790       449       3387      1836      0         425       3317      1114      1524      1694      300       80        7         119       南海小僧
荒火      80        6900      95839     159       234       811       387       3182      1130      0         431       4773      796       1708      1557      2595      13        221       485       乄凋谢的花灬
弈剑      80        5650      94863     162       255       1218      437       3035      1279      0         474       3637      2607      2765      1792      2305      0         0         123       风未答丶
太虚      80        6200      89394     196       235       3229      1507      800       408       36        359       2093      2062      3548      1967      2317      0         0         371       碎影河关
幽篁      80        4000      86371     150       243       3691      1640      774       402       35        350       3626      1081      2654      1107      1707      0         167       65        我不会望舒
云麓      80        4200      81846     136       240       3086      1435      952       557       45        379       1443      1195      3426      1378      2010      0         0         95        丶丘比特大魔王
弈剑      80        4900      89978     195       234       3295      1322      815       491       26        384       2965      1979      3647      1954      2427      0         0         119       猥乄為所欲為
云麓      80        3300      80586     125       234       3159      1461      913       562       50        372       1494      883       3553      2582      279       0         0         0         妾如星
冰心      80        9650      100605    197       240       1401      884       609       501       54        336       4037      4171      6273      807       473       0         167       26        乄走边边丶
天机      80        5800      91269     155       235       729       434       2856      1334      0         426       5467      766       1537      1711      2259      0         283       239       乄神之领域灬
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
龙巫      80        6800      87548     195       241       729       549       1610      1496      0         440       5389      867       2901      1075      335       58        43        60        诗丶酒趁年少
冰心      80        5588      89619     195       248       1149      726       574       413       45        336       4187      3962      5835      640       641       0         31        0         青团团
天机      80        6600      96199     197       242       779       497       2839      1518      0         476       6118      839       2608      1947      1953      0         491       81        青椒炒辣椒
幽篁      80        4700      89687     159       234       4041      1724      733       315       26        364       2034      2078      3642      1484      1889      0         22        240       恒乀初尘
翎羽      80        2800      77456     140       236       714       435       2227      1308      0         441       3419      1156      778       2184      755       0         0         0         丿夜丶月花朝
弈剑      80        5100      90112     201       241       1055      448       2638      1319      0         483       3782      2142      2194      1901      656       0         0         0         小寒殊啊
弈剑      80        3700      81389     150       236       1094      415       2184      894       0         427       2632      1724      2666      2381      2377      0         26        0         丷毛球
弈剑      80        6388      94042     195       254       4131      1852      823       552       34        375       2724      1884      3494      1662      2289      0         0         184       承諾
冰心      80        3788      83148     150       235       949       701       589       461       49        330       4003      3412      4998      706       330       0         30        0         乄莫离丶
冰心      80        6999      95510     195       254       1345      753       612       425       42        330       4149      3862      5630      761       642       0         21        0         丿兀無
弈剑      80        9300      100289    196       257       1155      418       2865      1079      0         482       4033      1931      3128      2941      2827      0         0         190       甲基丙烯酸
弈剑      80        7900      97135     195       234       1095      398       2703      1393      0         475       4003      2043      2596      1989      844       5         0         0         大班小朋友丶
冰心      80        2980      78584     129       234       1010      701       492       427       37        330       3301      3195      5249      693       441       0         7         0         涔夏丶
冰心      80        8300      97670     195       259       1337      814       614       426       52        330       4390      3560      6750      676       321       0         27        10        伈誂乄
冰心      80        5600      84130     137       243       1013      726       568       454       47        336       3553      3401      5742      789       477       0         18        0         汨萝
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
冰心      80        7799      96021     195       239       1146      837       470       470       52        330       4637      3775      6475      873       668       0         56        0         胡笑笑
弈剑      80        6800      94142     195       236       1140      440       2720      1946      0         446       3915      1832      2420      1749      342       31        0         0         花花的小跟班乀
幽篁      80        4350      86633     150       238       1083      391       3064      1357      0         435       3892      1152      1427      1395      1958      0         0         119       黎薇
冰心      80        4100      84301     195       235       1211      724       503       423       41        330       3423      3604      5097      735       727       0         57        0         溪岚丶
冰心      80        1900      71795     111       234       1516      1045      620       453       35        331       2724      1976      4729      1045      527       0         16        0         乄霂槿七七
冰心      80        4600      87505     156       236       1088      756       500       500       42        335       4068      3636      5877      733       632       0         14        0         丷麻辣兔头
冰心      80        9888      97872     195       251       1110      700       627       413       51        330       4255      3994      6436      741       500       29        17        0         丶沫笙
冰心      80        5300      91743     189       234       1147      832       525       470       42        337       3903      3860      5958      812       485       0         24        0         潋情尘丶一寒
魍魉      80        3500      80625     140       237       488       289       1983      571       0         412       4058      1469      1542      2020      2445      0         0         35        紅塵丷念旧緣
荒火      80        8603      100498    195       236       763       399       3549      1481      0         426       5211      681       1518      1822      370       73        8         0         以下氾上
弈剑      80        5500      91821     153       237       1153      428       2565      987       4         442       3290      2785      2721      2122      2295      0         30        80        灬像鱼灬
弈剑      80        3500      81499     128       235       1047      362       2132      968       0         480       3496      2131      2450      1756      2121      0         29        26        柒玖乀
冰心      80        5750      92143     195       235       1281      1000      566       413       44        330       4108      3546      6143      806       373       23        35        0         朤丶繁花
弈剑      80        6200      92374     163       235       3317      1467      723       572       30        355       2824      1796      3441      1677      2538      0         0         188       余生浮暖色
冰心      80        2800      80542     150       238       940       642       421       380       42        341       3933      3598      5009      701       557       0         28        0         時光安好丶
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
太虚      80        3200      77118     112       235       2826      1303      661       356       35        341       2028      1791      3666      1349      1660      0         0         54        岁月静好小小鸟
幽篁      80        7000      100662    195       243       1371      504       3774      2065      0         408       4917      1624      2144      1782      504       13        9         0         副本神篁
荒火      80        6600      96028     195       236       801       380       3402      1506      0         419       4528      736       1493      1757      461       85        0         0         醉世丶
魍魉      80        5900      92229     195       235       597       300       2583      721       0         409       4054      1334      1820      2073      2740      0         10        134       溪丶五月
冰心      80        6050      87978     140       234       1234      840       683       467       44        336       4010      3764      6252      764       182       0         51        0         沐迟丷
魍魉      80        9150      97893     195       240       585       352       2656      936       0         383       4485      2080      2284      2307      2597      0         0         269       蓝若寺
冰心      80        8400      100821    195       252       1334      916       645       567       53        330       4248      3342      7341      852       328       0         44        0         乄甜妞丶
太虚      80        7650      93437     195       255       1580      825       544       346       34        335       3670      5009      5345      935       870       0         19        0         沉醉孤单
冰心      80        8800      83570     141       237       1145      805       529       418       42        330       3714      3372      5776      721       345       0         62        0         时装党乀
魍魉      80        5000      81212     150       237       559       320       2262      813       0         429       3901      1485      1159      1173      2042      0         36        15        无缘的旅途
鬼墨      80        5500      93778     156       234       1515      621       773       473       51        330       4228      3675      5894      1003      564       0         26        23        乄青柠微凉
弈剑      80        4900      87710     150       240       1055      375       2914      1448      0         456       3916      2030      2539      1881      985       0         0         0         乄慕晓煜
弈剑      80        7000      97502     196       249       3887      1640      823       557       33        371       2683      1582      3606      1665      2705      0         26        304       乄渔舟唱晚丶
冰心      80        9999      87051     195       260       1348      930       771       500       48        330       3319      3234      5483      744       414       0         11        23        寒梅煮莹雪
冰心      80        6700      93326     195       253       1262      775       488       391       54        336       4083      4102      5968      719       445       11        8         0         一颗超红的樱桃
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
荒火      80        4280      80598     133       235       740       440       2570      1107      0         422       4131      791       1289      1579      523       0         71        17        樱木丷花道
太虚      80        6500      93026     159       244       1428      629       788       426       32        330       3741      4539      6118      934       870       0         18        0         丷道长丶
翎羽      80        7300      93837     199       237       677       459       3448      1982      2         454       3748      1200      1463      1566      353       58        20        14        丶沛公
太虚      80        9000      95499     195       256       3736      1600      735       376       42        330       1870      1854      3565      1907      2611      0         0         356       剑云兮
太虚      80        6500      88226     163       239       2333      1088      765       366       42        346       3029      2661      4840      1251      1917      0         0         0         乄轻烟未霁丶
冰心      80        6099      93770     195       236       1482      871       496       454       54        330       3654      3052      6513      774       808       0         0         0         十二月懒
翎羽      80        8000      92208     155       238       784       459       3186      1776      0         461       3672      1226      1688      1363      1711      0         23        25        乀敲你狗头
鬼墨      80        8300      93149     196       236       1888      691       852       468       47        335       4144      3981      5921      1046      603       0         98        0         乱舞小俊俊丷
冰心      80        2112      63842     83        234       922       694       305       305       29        340       1647      2184      3365      602       456       0         0         0         风暖澜清
弈剑      80        9500      94451     195       239       2649      1019      879       554       30        343       2987      2557      3812      1414      2568      19        0         105       墨乄池暝
太虚      80        4150      89419     155       238       3500      1594      782       397       37        330       2435      1883      3497      1991      2156      0         0         186       长情诗乀
魍魉      80        6543      96187     158       251       568       329       2385      685       0         416       4498      1640      2111      2312      3357      0         132       282       丶龙之影丶
冰心      80        6799      92853     195       242       1216      740       611       493       51        330       4561      3797      5497      833       513       16        0         0         小語淅淅乀
荒火      80        8900      100500    195       241       864       402       3386      1126      0         449       4598      737       1947      2044      2785      0         142       426       乄小怪兽丷
太虚      80        4300      77014     126       241       2531      1079      624       375       33        384       1688      1940      3567      1480      1923      0         0         80        闲青山乀
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
弈剑      80        7000      97832     177       254       4203      1647      856       526       30        395       2643      2016      3588      1815      2613      0         0         260       顾曦寒
太虚      80        7000      96776     195       249       3523      1618      814       422       35        336       2059      1942      3795      1878      2536      0         0         324       南城逆流
魍魉      80        3300      70563     98        234       639       460       1021      538       37        347       4820      1586      1961      555       641       0         0         0         乄核弹头丷
冰心      80        6500      91685     195       237       1233      778       448       411       33        336       3870      3829      5834      623       337       15        25        0         霂雪妃
荒火      80        2950      73696     104       236       693       374       1914      815       0         413       4881      434       1208      1549      392       0         0         0         霸天灬灵月
太虚      80        5450      81972     96        235       1443      665       715       411       35        348       3779      3699      4477      1120      574       25        129       0         風丶刺骨
天机      80        8000      100050    195       257       772       491       2857      1637      0         488       6216      682       2033      2107      771       26        239       0         丷岑今
冰心      80        8700      94661     195       260       3117      1495      574       448       38        330       2522      1807      4432      1153      2258      0         17        156       池白丷
幽篁      80        7000      98871     211       244       2244      728       800       390       34        389       3811      4443      5760      939       1045      0         103       72        醉的浮生忘断丶
魍魉      80        5000      85036     143       246       566       337       2155      522       0         408       4421      1025      1798      2039      2387      0         0         119       亲爱的陶子
天机      80        2790      73522     120       236       690       422       2201      1229      0         408       5188      858       1373      1537      369       0         123       0         恋上灬初心
冰心      80        4500      86161     167       234       1309      777       706       538       51        343       4194      3619      5388      702       310       0         0         0         桃绘胭脂扇
